Name,GEDR3_parallax_dist_kpc,GEDR3_parallax_dist_err_upper,GEDR3_parallax_dist_err_lower,GEDR3_kin_dist_kpc,GEDR3_kin_dist_err,HST_kin_dist_kpc,HST_kin_dist_err,Subdwarf_dist_kpc,Subdwarf_dist_err_upper,Subdwarf_dist_err_lower,Star_count_dist_kpc,Star_count_dist_err,Lit_dist_kpc,Lit_dist_err_upper,Lit_dist_err_lower,Mean_distance_kpc,Mean_distance_err_upper,Mean_distance_err_lower,N_Tot
2MASS-GC01,,,,,,,,,,,,,3.373,0.682,0.567,3.373,0.682,0.567,1
2MASS-GC02,,,,,,,,,,,,,5.503,0.456,0.421,5.503,0.456,0.421,2
NGC 5824,,,,,,,,,,,,,31.754,0.605,0.594,31.713,0.604,0.593,5
NGC 5897,,,,,,,12.359,0.464,0.447,12.252,1.141,12.607,0.246,0.241,12.549,0.238,0.233,8
NGC 5904,7.651,0.677,0.575,7.467,0.357,7.456,0.201,7.551,0.283,0.273,7.721,0.350,7.471,0.066,0.065,7.479,0.060,0.060,38
NGC 5927,8.606,0.900,0.744,8.209,0.647,,8.472,0.318,0.306,8.757,0.371,8.215,0.118,0.116,8.270,0.111,0.109,14
NGC 5946,,,,,,,,,,,,,9.554,0.589,0.555,9.642,0.529,0.496,4
NGC 5986,,,,10.269,0.668,,10.471,0.393,0.379,10.885,0.837,10.549,0.137,0.135,10.540,0.132,0.130,14
NGC 6093,,,,,,,10.375,0.389,0.375,10.193,0.489,10.342,0.120,0.118,10.339,0.116,0.115,20
NGC 6101,,,,,,,14.322,0.537,0.518,,,14.454,0.188,0.185,14.449,0.187,0.184,13
NGC 6121,1.830,0.035,0.034,1.878,0.033,,1.888,0.071,0.068,2.016,0.090,1.839,0.020,0.020,1.851,0.015,0.016,23
NGC 6139,,,,,,,,,,,,,10.046,0.488,0.465,10.035,0.463,0.441,6
NGC 6144,8.292,0.866,0.716,,,,,8.511,0.319,0.308,,,8.147,0.129,0.127,8.151,0.127,0.125,8
NGC 6171,5.464,0.411,0.357,6.017,0.407,,5.998,0.254,0.244,5.479,0.407,5.629,0.081,0.080,5.631,0.077,0.076,18
NGC 6205,8.621,0.822,0.690,6.906,0.336,,7.379,0.277,0.267,,,7.427,0.079,0.078,7.419,0.076,0.075,25
NGC 6218,5.068,0.282,0.254,4.632,0.194,,5.321,0.200,0.192,5.352,0.265,5.136,0.052,0.052,5.109,0.049,0.048,24
NGC 6229,,,,,,,,,,,,,30.102,0.475,0.468,30.106,0.475,0.467,7
NGC 6235,,,,,,,,,,,,,11.896,0.395,0.383,11.937,0.387,0.374,5
